BSC;ATCA127;ADM;3F ADM port 1
BSC;ATCA64;ADM;3F ADM port 2
BSC;ATCA65;ADM;3F ADM port 3
BSC;ATCA150;ADM;3F ADM port 4
BSC;Liu Zhenjun;ADM;3F ADM port 5
BSC;ATCA68;ADM;3F ADM port 6
BSC;ATCA69;ADM;3F ADM port 7
BSC;ATCA70;ADM;3F ADM port 8
BSC;ATCA71;ADM;3F ADM port 9
BSC;ATCA72;ADM;3F ADM port 10
BSC;ATCA74;ADM;3F ADM port 11
BSC;ATCA74;ADM;3F ADM port 12
BSC;ATCA75;ADM;3F ADM port 13
BSC;ATCA85;ADM;3F ADM port 14
BSC;;ADM;3F ADM port 15
BSC;Cai Haisheng;ADM;3F ADM port 16
BSC;ATCA149;ADM;3F ADM port 17
BSC;ATCA151;ADM;3F ADM port 18
BSC;ATCA126;ADM;3F ADM port 19
BSC;ATCA63;ADM;3F ADM port 20
BSC;ATCA150;ADM;3F ADM port 21
BSC;;ADM;3F ADM port 22
BSC;ATCA73;ADM;3F ADM port 23
BSC;ATCA67;ADM;3F ADM port 24
BSC;ATCA76;ADM;3F ADM port 25
BSC;ATCA77;ADM;3F ADM port 26
BSC;ATCA81;ADM;3F ADM port 27
BSC;ATCA82;ADM;3F ADM port 28
BSC;ATCA83;ADM;3F ADM port 29
BSC;ATCA84;ADM;3F ADM port 30
BSC;ATCA71;ADM;3F ADM port 31
BSC;ATCA71;ADM;3F ADM port 32
BSC;ATCA71;ADM;3F ADM port 33
BSC;ATCA68;ADM;3F ADM port 34
BSC;;ADM;3F ADM port 35
BSC;ATCA136;ADM;3F ADM port 36
BSC;ATCA68;ADM;3F ADM port 37
BSC;ATCA68;ADM;3F ADM port 38
BSC;ATCA68;ADM;3F ADM port 39
BSC;Wu Wenjuan;ADM;3F ADM port 40
BSC;ATCA150;ADM;3F ADM port 41
BSC;ATCA148;ADM;3F ADM port 42
BSC;cai haisheng;ADM;3F ADM port 43
BSC;;ADM;3F ADM port 44
BSC;;ADM;3F ADM port 45
BSC;;ADM;3F ADM port 46
BSC;;ADM;3F ADM port 47
BSC;;ADM;3F ADM port 48
BSC;;ADM;3F ADM port 49
BSC;;ADM;3F ADM port 50
BSC;;ADM;3F ADM port 51
BSC;;ADM;3F ADM port 52
BSC;;ADM;3F ADM port 53
BSC;;ADM;3F ADM port 54
BSC;;ADM;3F ADM port 55
BSC;;ADM;3F ADM port 56
BSC;;ADM;3F ADM port 57
BSC;;ADM;3F ADM port 58
BSC;;ADM;3F ADM port 59
BSC;;ADM;3F ADM port 60
BSC;;ADM;3F ADM port 61
BSC;;ADM;3F ADM port 62
BSC;;ADM;3F ADM port 63
BSC;ATCA121;ADM;6F ADM port 1
BSC;ATCA122;ADM;6F ADM port 2
BSC;ATCA_19;ADM;6F ADM port 3
BSC;ATCA144;ADM;6F ADM port 4
BSC;ATCA_138;ADM;6F ADM port 5
BSC;ATCA_62;ADM;6F ADM port 6
BSC;ATCA_16;ADM;6F ADM port 7
BSC;ATCA123;ADM;6F ADM port 8
BSC;ATCA01;ADM;6F ADM port 9
BSC;ATCA20;ADM;6F ADM port 10
BSC;ATCA26;ADM;6F ADM port 11
BSC;ATCA13;ADM;6F ADM port 12
BSC;ATCA10;ADM;6F ADM port 13
BSC;ATCA93;ADM;6F ADM port 14
BSC;ATCA98;ADM;6F ADM port 15
BSC;ATCA134;ADM;6F ADM port 16
BSC;ATCA101;ADM;6F ADM port 17
BSC;ATCA 61;ADM;6F ADM port 18
BSC;ATCA139;ADM;6F ADM port 19
BSC;ATCA140;ADM;6F ADM port 20
BSC;ATCA141;ADM;6F ADM port 21
BSC;ATCA102;ADM;6F ADM port 22
BSC;ATCA133;ADM;6F ADM port 23
BSC;ATCA135;ADM;6F ADM port 24
BSC;ATCA144;ADM;6F ADM port 25
BSC;SH11;ADM;6F ADM port 26
BSC;;ADM;6F ADM port 27
BSC;ATCA17;ADM;6F ADM port 28
BSC;ATCA142;ADM;6F ADM port 29
BSC;ATCA30;ADM;6F ADM port 30
BSC;ATCA02;ADM;6F ADM port 31
BSC;ATCA31;ADM;6F ADM port 32
BSC;ATCA143;ADM;6F ADM port 33
BSC;ATCA92;ADM;6F ADM port 34
BSC;ATCA94;ADM;6F ADM port 35
BSC;;ADM;6F ADM port 36
BSC;;ADM;6F ADM port 37
BSC;;ADM;6F ADM port 38
BSC;;ADM;6F ADM port 39
BSC;;ADM;6F ADM port 40
BSC;;ADM;6F ADM port 41
BSC;;ADM;6F ADM port 42
BSC;;ADM;6F ADM port 43
BSC;;ADM;6F ADM port 44
BSC;;ADM;6F ADM port 45
BSC;;ADM;6F ADM port 46
BSC;;ADM;6F ADM port 47
BSC;;ADM;6F ADM port 48
BSC;;ADM;6F ADM port 49
BSC;;ADM;6F ADM port 50
BSC;;ADM;6F ADM port 51
BSC;;ADM;6F ADM port 52
BSC;;ADM;6F ADM port 53
BSC;;ADM;6F ADM port 54
BSC;;ADM;6F ADM port 55
BSC;;ADM;6F ADM port 56
BSC;;ADM;6F ADM port 57
BSC;;ADM;6F ADM port 58
BSC;;ADM;6F ADM port 59
BSC;;ADM;6F ADM port 60
BSC;;ADM;6F ADM port 61
BSC;;ADM;6F ADM port 62
